"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","49","","","","","","And in assertion",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","70","","","","","","Assist helpers",""
"passed","Tue Oct 19 10:57:43 GMT 2021","Tue Oct 19 10:57:45 GMT 2021","2765","","","","","","Assert google search results exists",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","3","","","","","","Scenario with large string",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","593","","","","","","Different parameters and transformations",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","2","","","","","","Occurrense contraint",""
"passed","Tue Oct 19 10:57:46 GMT 2021","Tue Oct 19 10:57:51 GMT 2021","4994","","","","","","Assert google search results exists in few browsers in the same time",""
"failed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","25","","","","","","Basic keywords example",""
"failed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","154","","","","","","Assertion scope",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","2","","","","","","Scenario outline example",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","5","","","","","","Scenario with table",""
"passed","Tue Oct 19 10:57:42 GMT 2021","Tue Oct 19 10:57:42 GMT 2021","3","","","","","","Scenario outline example",""
