"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:45 GMT 2021","475","","","","","","Different parameters and transformations",""
"passed","Fri Feb 12 09:36:45 GMT 2021","Fri Feb 12 09:36:45 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:44 GMT 2021","38","","","","","","Assist helpers",""
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:44 GMT 2021","8","","","","","","Scenario with large string",""
"passed","Fri Feb 12 09:36:45 GMT 2021","Fri Feb 12 09:36:45 GMT 2021","2","","","","","","This is sime tests ofr checking allure report",""
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:44 GMT 2021","32","","","","","","Basic keywords example",""
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:44 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:44 GMT 2021","3","","","","","","Scenario with table",""
"passed","Fri Feb 12 09:36:44 GMT 2021","Fri Feb 12 09:36:44 GMT 2021","3","","","","","","Scenario outline example",""
