"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:29 GMT 2021","2","","","","","","Scenario outline example",""
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:29 GMT 2021","4","","","","","","Scenario with table",""
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:29 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:30 GMT 2021","522","","","","","","Different parameters and transformations",""
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:29 GMT 2021","35","","","","","","Basic keywords example",""
"passed","Fri Feb 12 09:32:30 GMT 2021","Fri Feb 12 09:32:30 GMT 2021","2","","","","","","This is sime tests ofr checking allure report",""
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:29 GMT 2021","53","","","","","","Assist helpers",""
"passed","Fri Feb 12 09:32:29 GMT 2021","Fri Feb 12 09:32:29 GMT 2021","8","","","","","","Scenario with large string",""
"passed","Fri Feb 12 09:32:30 GMT 2021","Fri Feb 12 09:32:30 GMT 2021","1","","","","","","Tag scoping example",""
