"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","2","","","","","","Scenario outline example",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","54","","","","","","Assist helpers",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","2","","","","","","Scenario with table",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","45","","","","","","Basic keywords example",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","2","","","","","","This is sime tests ofr checking allure report",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","550","","","","","","Different parameters and transformations",""
"passed","Sun Jan 31 00:37:19 GMT 2021","Sun Jan 31 00:37:19 GMT 2021","2","","","","","","Scenario with large string",""
