"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","3","","","","","","Scenario outline example",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","55","","","","","","Assist helpers",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","2","","","","","","This is sime tests ofr checking allure report",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","34","","","","","","Basic keywords example",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","571","","","","","","Different parameters and transformations",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","1","","","","","","Scenario with large string",""
"passed","Sat Jan 30 23:14:16 GMT 2021","Sat Jan 30 23:14:16 GMT 2021","5","","","","","","Scenario with table",""
