"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 04 15:37:58 GMT 2021","Thu Nov 04 15:38:02 GMT 2021","4004","","","","","","Assert google search results exists",""
"passed","Thu Nov 04 15:38:02 GMT 2021","Thu Nov 04 15:38:07 GMT 2021","4407","","","","","","Assert google search results exists in few browsers in the same time",""
"broken","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","0","","","","","","Scenario outline example",""
"passed","Thu Nov 04 15:37:49 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","515","","","","","","Different parameters and transformations",""
"passed","Thu Nov 04 15:37:49 GMT 2021","Thu Nov 04 15:37:49 GMT 2021","44","","","","","","Assist helpers",""
"passed","Thu Nov 04 15:37:49 GMT 2021","Thu Nov 04 15:37:49 GMT 2021","48","","","","","","And in assertion",""
"passed","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","2","","","","","","Scenario with table",""
"failed","Thu Nov 04 15:37:49 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","136","","","","","","Assertion scope",""
"passed","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","3","","","","","","Occurrense contraint",""
"passed","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","1","","","","","","Scenario with large string",""
"failed","Thu Nov 04 15:37:50 GMT 2021","Thu Nov 04 15:37:50 GMT 2021","8","","","","","","Basic keywords example",""
