"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","670","","","","","","Different parameters and transformations",""
"failed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","60","","","","","","Get default json configuration",""
"passed","Wed Nov 24 00:29:07 GMT 2021","Wed Nov 24 00:29:10 GMT 2021","3075","","","","","","Assert google search results exists",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","2","","","","","","Scenario with large string",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","6","","","","","","Scenario with table",""
"failed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","162","","","","","","Assertion scope",""
"failed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","8","","","","","","Basic keywords example",""
"passed","Wed Nov 24 00:29:14 GMT 2021","Wed Nov 24 00:29:19 GMT 2021","4863","","","","","","Assert google search results exists in few browsers in the same time",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","68","","","","","","And in assertion",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","2","","","","","","Occurrense contraint",""
"failed","Wed Nov 24 00:29:11 GMT 2021","Wed Nov 24 00:29:14 GMT 2021","2782","","","","","","Assert google search results exists FAILED",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","45","","","","","","Assist helpers",""
"passed","Wed Nov 24 00:28:40 GMT 2021","Wed Nov 24 00:28:40 GMT 2021","1","","","","","","Scenario outline example",""
