"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","2","","","","","","This is sime tests ofr checking allure report",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","4","","","","","","Scenario with table",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","2","","","","","","Scenario outline example",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","63","","","","","","Assist helpers",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","2","","","","","","Tag scoping example",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","35","","","","","","Basic keywords example",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","571","","","","","","Different parameters and transformations",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","1","","","","","","Scenario with large string",""
"passed","Sun Jan 31 00:28:50 GMT 2021","Sun Jan 31 00:28:50 GMT 2021","1","","","","","","Scenario outline example",""
