"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","34","","","","","","And in assertion",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","2","","","","","","Occurrense contraint",""
"failed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","167","","","","","","Assertion scope",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","5","","","","","","Scenario with table",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:14 GMT 2021","574","","","","","","Different parameters and transformations",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","71","","","","","","Assist helpers",""
"failed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:14 GMT 2021","37","","","","","","Get default json configuration",""
"failed","Tue Nov 30 12:50:56 GMT 2021","Tue Nov 30 12:50:58 GMT 2021","2396","","","","","","Assert google search results exists FAILED",""
"failed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","9","","","","","","Basic keywords example",""
"passed","Tue Nov 30 12:50:58 GMT 2021","Tue Nov 30 12:51:03 GMT 2021","4703","","","","","","Assert google search results exists in few browsers in the same time",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","2","","","","","","Scenario with large string",""
"passed","Tue Nov 30 12:50:14 GMT 2021","Tue Nov 30 12:50:14 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","6","","","","","","Scenario outline example",""
"passed","Tue Nov 30 12:50:51 GMT 2021","Tue Nov 30 12:50:55 GMT 2021","4133","","","","","","Assert google search results exists",""
"passed","Tue Nov 30 12:50:13 GMT 2021","Tue Nov 30 12:50:13 GMT 2021","1","","","","","","Scenario outline example",""
