"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 04 15:45:55 GMT 2021","Thu Nov 04 15:46:00 GMT 2021","4319","","","","","","Assert google search results exists in few browsers in the same time",""
"passed","Thu Nov 04 15:45:38 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Thu Nov 04 15:45:37 GMT 2021","Thu Nov 04 15:45:37 GMT 2021","2","","","","","","Occurrense contraint",""
"passed","Thu Nov 04 15:45:38 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","0","","","","","","Scenario outline example",""
"passed","Thu Nov 04 15:45:38 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","2","","","","","","Scenario with table",""
"failed","Thu Nov 04 15:45:37 GMT 2021","Thu Nov 04 15:45:37 GMT 2021","123","","","","","","Assertion scope",""
"passed","Thu Nov 04 15:45:37 GMT 2021","Thu Nov 04 15:45:37 GMT 2021","43","","","","","","Assist helpers",""
"failed","Thu Nov 04 15:45:38 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","7","","","","","","Basic keywords example",""
"passed","Thu Nov 04 15:45:38 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Thu Nov 04 15:45:37 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","468","","","","","","Different parameters and transformations",""
"passed","Thu Nov 04 15:45:38 GMT 2021","Thu Nov 04 15:45:38 GMT 2021","4","","","","","","Scenario with large string",""
"passed","Thu Nov 04 15:45:49 GMT 2021","Thu Nov 04 15:45:53 GMT 2021","4128","","","","","","Assert google search results exists",""
"failed","Thu Nov 04 15:45:53 GMT 2021","Thu Nov 04 15:45:55 GMT 2021","2065","","","","","","Assert google search results exists FAILED",""
"passed","Thu Nov 04 15:45:37 GMT 2021","Thu Nov 04 15:45:37 GMT 2021","52","","","","","","And in assertion",""
