"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","1","","","","","","Tag scoping example",""
"passed","Sat Nov 27 19:16:31 GMT 2021","Sat Nov 27 19:16:35 GMT 2021","4078","","","","","","Assert google search results exists",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","545","","","","","","Different parameters and transformations",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","3","","","","","","Occurrense contraint",""
"failed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","35","","","","","","Get default json configuration",""
"passed","Sat Nov 27 19:16:39 GMT 2021","Sat Nov 27 19:16:44 GMT 2021","5093","","","","","","Assert google search results exists in few browsers in the same time",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","1","","","","","","Scenario with large string",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","1","","","","","","Scenario outline example",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","78","","","","","","Assist helpers",""
"failed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","8","","","","","","Basic keywords example",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","7","","","","","","Scenario outline example",""
"passed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","2","","","","","","Scenario with table",""
"failed","Sat Nov 27 19:15:57 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","181","","","","","","Assertion scope",""
"failed","Sat Nov 27 19:16:36 GMT 2021","Sat Nov 27 19:16:38 GMT 2021","2573","","","","","","Assert google search results exists FAILED",""
"passed","Sat Nov 27 19:15:56 GMT 2021","Sat Nov 27 19:15:57 GMT 2021","29","","","","","","And in assertion",""
