"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:13 GMT 2021","44","","","","","","Assist helpers",""
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:13 GMT 2021","2","","","","","","Scenario with large string",""
"passed","Sat Jan 30 23:43:14 GMT 2021","Sat Jan 30 23:43:14 GMT 2021","2","","","","","","This is sime tests ofr checking allure report",""
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:13 GMT 2021","0","","","","","","Scenario outline example",""
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:13 GMT 2021","4","","","","","","Scenario with table",""
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:13 GMT 2021","30","","","","","","Basic keywords example",""
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:14 GMT 2021","543","","","","","","Different parameters and transformations",""
"passed","Sat Jan 30 23:43:13 GMT 2021","Sat Jan 30 23:43:13 GMT 2021","2","","","","","","Scenario outline example",""
"passed","Sat Jan 30 23:43:14 GMT 2021","Sat Jan 30 23:43:14 GMT 2021","1","","","","","","Tag scoping example",""
